# IBDL00006;Description;Tablename;Fieldname (WAMAS);Shortname (xml relevant);Datatype (WAMAS);Length (WAMAS);Decimalplaces (WAMAS);Mandatory;Foreignkey;Documentation;ERP relevant;Fieldname (SAP);Datatype (SAP);Length (SAP);Decimalplaces (SAP)
1;Client;InboundDeliveryLine;InboundDelivery.Client.clientId;clientId;S;10;0;X;X;Is the unique identification of a client.;
2;Inbound delivery number;InboundDeliveryLine;InboundDelivery.ibdNo;ibdNo;S;20;0;X;X;The inbound delivery number is part of the unique identifier of the inbound delivery.;
3;System partner line;InboundDeliveryLine;sysPartnerLine;sysPartnerLine;N;10;0;X;;The associated line of the initial system partner telegram. If a delivery line is added within WAMAS, then this number is set to 0.;
4;Item number;InboundDeliveryLine;iga.pkv.Item.itemNo;itemNo;S;20;0;;X; Is a part of the unique identification of an item. ;
5;Variant;InboundDeliveryLine;iga.pkv.Item.variant;variant;S;10;0;;X; The variant is the most precise description of an item. With the help of the variant, e.g. colours or sizes of clothing can be specified. Is a part of the unique identification of an item. ;
6;BQU / WQU;InboundDeliveryLine;iga.pkv.numBquWqu;numBquWqu;D;12;3;;;Defines the number of base quantity units for the warehouse quantity as a factor. This value is calculated automatically and cannot be changed by the user.This factor is stored redundantly to gain performance during the process and in dialogs.To avoid rounding errors, the number of dual quantity units is stored as a fraction.;
7;System partner stock group;;;sysPartnerStockGroup;S;15;0;;;;
8;System partner stock rating;;;sysPartnerStockRating;S;15;0;;;;
9;Goods owner;InboundDeliveryLine;iga.gow.partner.partnerId;gow;S;15;0;X;X;Unique identification of a partner object.;
10;Batch;InboundDeliveryLine;iga.batch;batch;S;20;0;;;The batch concerning the ordered or delivered goods.;
11;BBD;InboundDeliveryLine;iga.bbDate;bbDate;DA;8;0;;;The best before date concerning the ordered or delivered goods. See StockIdentifyingAttributes.;
12;Production date;InboundDeliveryLine;iga.prodDate;prodDate;DA;8;0;;;The production date concerning the ordered or delivered goods. See StockIdentifyingAttributes.;
13;Reservation number;InboundDeliveryLine;iga.reservationNo;reservationNo;S;20;0;;;The reservation number concerning the ordered or delivered goods.;
14;Cross Docking No.;InboundDeliveryLine;iga.cdNo;cdNo;S;20;0;;;Cross docking number of the item.;
15;CSIA 01;InboundDeliveryLine;iga.csia.csia01;csia1;S;50;0;;;Defines the type for customizable stock identifying attributes;
16;CSIA 02;InboundDeliveryLine;iga.csia.csia02;csia2;S;50;0;;;Defines the type for customizable stock identifying attributes;
17;CSIA 03;InboundDeliveryLine;iga.csia.csia03;csia3;S;50;0;;;Defines the type for customizable stock identifying attributes;
18;CSIA 04;InboundDeliveryLine;iga.csia.csia04;csia4;S;50;0;;;Defines the type for customizable stock identifying attributes;
19;CSIA 05;InboundDeliveryLine;iga.csia.csia05;csia5;S;50;0;;;Defines the type for customizable stock identifying attributes;
20;CSIA 06;InboundDeliveryLine;iga.csia.csia06;csia6;S;50;0;;;Defines the type for customizable stock identifying attributes;
21;CSIA 07;InboundDeliveryLine;iga.csia.csia07;csia7;S;50;0;;;Defines the type for customizable stock identifying attributes;
22;CSIA 08;InboundDeliveryLine;iga.csia.csia08;csia8;S;50;0;;;Defines the type for customizable stock identifying attributes;
23;CSIA 09;InboundDeliveryLine;iga.csia.csia09;csia9;S;50;0;;;Defines the type for customizable stock identifying attributes;
24;CSIA 10;InboundDeliveryLine;iga.csia.csia10;csia10;S;50;0;;;Defines the type for customizable stock identifying attributes;
25;CSIA 11;InboundDeliveryLine;iga.csia.csia11;csia11;S;50;0;;;Defines the type for customizable stock identifying attributes;
26;CSIA 12;InboundDeliveryLine;iga.csia.csia12;csia12;S;50;0;;;Defines the type for customizable stock identifying attributes;
27;CSIA 13;InboundDeliveryLine;iga.csia.csia13;csia13;S;50;0;;;Defines the type for customizable stock identifying attributes;
28;CSIA 14;InboundDeliveryLine;iga.csia.csia14;csia14;S;50;0;;;Defines the type for customizable stock identifying attributes;
29;CSIA 15;InboundDeliveryLine;iga.csia.csia15;csia15;S;50;0;;;Defines the type for customizable stock identifying attributes;
30;CSIA 16;InboundDeliveryLine;iga.csia.csia16;csia16;S;50;0;;;Defines the type for customizable stock identifying attributes;
31;CSIA 17;InboundDeliveryLine;iga.csia.csia17;csia17;S;50;0;;;Defines the type for customizable stock identifying attributes;
32;CSIA 18;InboundDeliveryLine;iga.csia.csia18;csia18;S;50;0;;;Defines the type for customizable stock identifying attributes;
33;CSIA 19;InboundDeliveryLine;iga.csia.csia19;csia19;S;50;0;;;Defines the type for customizable stock identifying attributes;
34;CSIA 20;InboundDeliveryLine;iga.csia.csia20;csia20;S;50;0;;;Defines the type for customizable stock identifying attributes;
35;Ordered LU-ID;InboundDeliveryLine;iga.orderedLuId;orderedLuId;S;20;0;;;OrderedLuId;
36;Ordered quantity;InboundDeliveryLine;orderAmount.baseQty;baseQty;D;12;3;;;The item quantity specification in its administration unit (base quantity unit). All state calculations, delivery fulfilled checks and so on are based on the base quantity. The dual quantity has no effect for those calculations. ;
37;Upper tolerance [%];InboundDeliveryLine;deliveryTolerance.upper;deliveryToleranceUpper;D;5;2;;;Upper tolerance in percentage.;
38;Lower tolerance [%];InboundDeliveryLine;deliveryTolerance.lower;deliveryToleranceLower;D;5;2;;;Lower tolerance in percentage.;
39;Inbound delivery line type;InboundDeliveryLine;lineType.ibdlTypeId;ibdlTypeId;S;20;0;;X;The identifier for an inbound delivery line type.;
